sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
4.700000000000000000e+01,4.275372469423953208e-03,2.830628837030689571e+00,2.830748653631212530e+00,2.823759166148792854e+00,2.836697598162370326e+00
4.800000000000000000e+01,4.149833341928111166e-03,2.834955804357329967e+00,2.835076891957356793e+00,2.827972699490681752e+00,2.841209915518871920e+00
4.900000000000000000e+01,4.030276758594480806e-03,2.839163197847974551e+00,2.839285550227965693e+00,2.832071815641328261e+00,2.845554375766244704e+00
5.000000000000000000e+01,3.916310618455795360e-03,2.843254338167086726e+00,2.843377940934105563e+00,2.836011562504026973e+00,2.849881511537443401e+00
5.100000000000000000e+01,3.807575415483795481e-03,2.847232385766572005e+00,2.847357216770737942e+00,2.839798193931401649e+00,2.854150312090256492e+00
5.200000000000000000e+01,3.703740970726107640e-03,2.851100357382561956e+00,2.851226387170369581e+00,2.843533968859672800e+00,2.858229978647198521e+00
5.300000000000000000e+01,3.604503546151302355e-03,2.854861139958430272e+00,2.854988332255401939e+00,2.847090193294842031e+00,2.862110860028017179e+00
5.400000000000000000e+01,3.509583289542150819e-03,2.858517502422555534e+00,2.858645814638778759e+00,2.850606539313558230e+00,2.866040158533189608e+00
5.500000000000000000e+01,3.418721967274154869e-03,2.862072105684487777e+00,2.862201489437064872e+00,2.853997160570212355e+00,2.869778003188971915e+00
5.600000000000000000e+01,3.331680948094402524e-03,2.865527511150447459e+00,2.865657912797184181e+00,2.857295634483098645e+00,2.873411334188962662e+00
5.700000000000000000e+01,3.248239406289506366e-03,2.868886188008957561e+00,2.869017549188572325e+00,2.860482743576569398e+00,2.876870085067454674e+00
5.800000000000000000e+01,3.168192717075974784e-03,2.872150519495029197e+00,2.872282777669462384e+00,2.863630190797048058e+00,2.880201639504687883e+00
5.900000000000000000e+01,3.091351020803124842e-03,2.875322808306937539e+00,2.875455897301865793e+00,2.866667061600062016e+00,2.883556389255885755e+00
6.000000000000000000e+01,3.017537935743802580e-03,2.878405281319288189e+00,2.878539131859458422e+00,2.869624023391497136e+00,2.886867696816130202e+00
6.100000000000000000e+01,2.946589401956020444e-03,2.881400093712369603e+00,2.881534633948472646e+00,2.872530309203247700e+00,2.889905473523001866e+00
6.200000000000000000e+01,2.878352641007278761e-03,2.884309332616049826e+00,2.884444488640822257e+00,2.875295319402189076e+00,2.893033186848456229e+00
6.300000000000000000e+01,2.812685218326708373e-03,2.887135020350938941e+00,2.887270716701896944e+00,2.878013775803761387e+00,2.896126220933068929e+00
6.400000000000000000e+01,2.749454196641334860e-03,2.889879117334409830e+00,2.890015277481241540e+00,2.880657580574116139e+00,2.898983704075301038e+00
6.500000000000000000e+01,2.688535370405751353e-03,2.892543524706481239e+00,2.892680071521703589e+00,2.883225088294147476e+00,2.901792880300688715e+00
6.600000000000000000e+01,2.629812572385773362e-03,2.895130086722951024e+00,2.895266942933969023e+00,2.885666542655151545e+00,2.904585839239018696e+00
6.700000000000000000e+01,2.573177044636716041e-03,2.897640592952481775e+00,2.897777681574089215e+00,2.888071065907133139e+00,2.907295169030285287e+00
6.800000000000000000e+01,2.518526867051551748e-03,2.900076780308908031e+00,2.900214025055371181e+00,2.890473355781657983e+00,2.909925831351743764e+00
6.900000000000000000e+01,2.465766437464358019e-03,2.902440334944860645e+00,2.902577660620561772e+00,2.892755954528217988e+00,2.912400018492697473e+00
7.000000000000000000e+01,2.414805997998655408e-03,2.904732894026157197e+00,2.904870226894587848e+00,2.894972710562784712e+00,2.914865943260184000e+00
7.100000000000000000e+01,2.365561202963238630e-03,2.906956047405213184e+00,2.907093315535688838e+00,2.897079120363715621e+00,2.917251748544456458e+00
7.200000000000000000e+01,2.317952724133005588e-03,2.909111339206723823e+00,2.909248472798481089e+00,2.899170136800681696e+00,2.919627061105687815e+00
7.300000000000000000e+01,2.271905889719899162e-03,2.911200269336809754e+00,2.911337201020776977e+00,2.901179645960106690e+00,2.921901108132300529e+00
7.400000000000000000e+01,2.227350353748615806e-03,2.913224294924518620e+00,2.913360960042517878e+00,2.903112865615044225e+00,2.923976176134564842e+00
7.500000000000000000e+01,2.184219792911126345e-03,2.915184831703764079e+00,2.915321168565212950e+00,2.905042644463350143e+00,2.926024267393482425e+00
7.600000000000000000e+01,2.142451628289927107e-03,2.917083255341272885e+00,2.917219205457967757e+00,2.906913995220909097e+00,2.928052675490437018e+00
7.700000000000000000e+01,2.101986769618189622e-03,2.918920902715082644e+00,2.919056411014110619e+00,2.908727151279748124e+00,2.930127320568799654e+00
7.800000000000000000e+01,2.062769379990328587e-03,2.920699073148118607e+00,2.920834088163455355e+00,2.910482250127635506e+00,2.931992378237132435e+00
7.900000000000000000e+01,2.024746659153368183e-03,2.922419029600021645e+00,2.922553503643260608e+00,2.912154468788874073e+00,2.933816125495894767e+00
8.000000000000000000e+01,1.987868643701355513e-03,2.924081999819326594e+00,2.924215889130043600e+00,2.913708239562563751e+00,2.935652834333938976e+00
8.100000000000000000e+01,1.952088022665213283e-03,2.925689177458574264e+00,2.925822442335106466e+00,2.915211805642251797e+00,2.937480600350085957e+00
8.200000000000000000e+01,1.917359967141378692e-03,2.927241723154041964e+00,2.927374328065166065e+00,2.916660589777099855e+00,2.939253357109247844e+00
8.300000000000000000e+01,1.883641972736902230e-03,2.928740765571795635e+00,2.928872679250006605e+00,2.918039181543245597e+00,2.940972214393835937e+00
8.400000000000000000e+01,1.850893713728166134e-03,2.930187402421032150e+00,2.930318597938188940e+00,2.919366844707617314e+00,2.942611615951777448e+00
8.500000000000000000e+01,1.819076907937062322e-03,2.931582701435501370e+00,2.931713156261694486e+00,2.920646482588561632e+00,2.944070797216157942e+00
8.600000000000000000e+01,1.788155191423588825e-03,2.932927701325644065e+00,2.933057397371694464e+00,2.921880202490320322e+00,2.945591426121765277e+00
8.700000000000000000e+01,1.758094002178975076e-03,2.934223412699545008e+00,2.934352336344337342e+00,2.923068953006395354e+00,2.947035328369071561e+00
8.800000000000000000e+01,1.728860472079678549e-03,2.935470818955995931e+00,2.935598961059199485e+00,2.924328569385314047e+00,2.948405676335699610e+00
8.900000000000000000e+01,1.700423326430834355e-03,2.936670877149770931e+00,2.936798233050594842e+00,2.925556360046904558e+00,2.949746557007590031e+00
9.000000000000000000e+01,1.672752790489166535e-03,2.937824518828366482e+00,2.937951088331599347e+00,2.926655255055922833e+00,2.951077638923703894e+00
9.100000000000000000e+01,1.645820502410416100e-03,2.938932650843184113e+00,2.939058438192819533e+00,2.927712170014599380e+00,2.952385859099319720e+00
9.200000000000000000e+01,1.619599432115967569e-03,2.939996156134073502e+00,2.940121169975448812e+00,2.928726001038936211e+00,2.953648035354470291e+00
9.300000000000000000e+01,1.594063805618047914e-03,2.941015894488838267e+00,2.941140147820195061e+00,2.929700707748296384e+00,2.954802963786443915e+00
9.400000000000000000e+01,1.569189034383149887e-03,2.941992703277752419e+00,2.942116213391964941e+00,2.930635374493460787e+00,2.955862149885005952e+00
9.500000000000000000e+01,1.544951649349763983e-03,2.942927398163893482e+00,2.943050186580848937e+00,2.931493750966696954e+00,2.956888942175577295e+00
9.600000000000000000e+01,1.521329239249361292e-03,2.943820773790621903e+00,2.943942866181168849e+00,2.932310971900563334e+00,2.958024158941388482e+00
9.700000000000000000e+01,1.498300392909374893e-03,2.944673604445813719e+00,2.944795030547999293e+00,2.933088270766938788e+00,2.959119327525175258e+00
