sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
3.600000000000000000e+01,6.385840895797093020e-03,2.749489109855568270e+00,2.749673947766954285e+00,2.741057897539659116e+00,2.757356052562136561e+00
3.700000000000000000e+01,6.149691132162974673e-03,2.756692672733521032e+00,2.756881688617982995e+00,2.748326479332264149e+00,2.764510687107111675e+00
3.800000000000000000e+01,5.927656882726606985e-03,2.763719484872089183e+00,2.763912758614052834e+00,2.755410782226626942e+00,2.771470593865399401e+00
3.900000000000000000e+01,5.718575847256983369e-03,2.770574641680627614e+00,2.770772241500570221e+00,2.762043196754992103e+00,2.778424544334564761e+00
4.000000000000000000e+01,5.521407107625645252e-03,2.777262924431083135e+00,2.777464905637874182e+00,2.768923416040165453e+00,2.785248710805434680e+00
4.100000000000000000e+01,5.335215865989509192e-03,2.783788863288941595e+00,2.783995267349556713e+00,2.775654362910187078e+00,2.791848084254289653e+00
4.200000000000000000e+01,5.159160412235790083e-03,2.790156781063869662e+00,2.790367634967223953e+00,2.781962951273104778e+00,2.798309067873894662e+00
4.300000000000000000e+01,4.992480951494367332e-03,2.796370829150473192e+00,2.796586145035494297e+00,2.788126299048725443e+00,2.804603834000400919e+00
4.400000000000000000e+01,4.834489991355598280e-03,2.802435013477496017e+00,2.802654788499791216e+00,2.794144690420417909e+00,2.810631362250052501e+00
4.500000000000000000e+01,4.684564041856152661e-03,2.808353214669464304e+00,2.808577431079094300e+00,2.799905133568528992e+00,2.816670514761739241e+00
4.600000000000000000e+01,4.542136424994004835e-03,2.814129202668728347e+00,2.814357828074037116e+00,2.805353329878211177e+00,2.822551744330402457e+00
4.700000000000000000e+01,4.406691025419609900e-03,2.819766647645666868e+00,2.819999635438056984e+00,2.810789662296107050e+00,2.828232047554318118e+00
4.800000000000000000e+01,4.277756842441713357e-03,2.825269127793324397e+00,2.825506417709642282e+00,2.816444145292051005e+00,2.833766434012487068e+00
4.900000000000000000e+01,4.154903226603834376e-03,2.830640134926722506e+00,2.830881653726985192e+00,2.821528012761770565e+00,2.839287081319082695e+00
5.000000000000000000e+01,4.037735703054746994e-03,2.835883078375089905e+00,2.836128740614790367e+00,2.826943986450883184e+00,2.844489823986028121e+00
5.100000000000000000e+01,3.925892299498956288e-03,2.841001287671923059e+00,2.841250996549677943e+00,2.832048196130288353e+00,2.849596196393245684e+00
5.200000000000000000e+01,3.819040309365770089e-03,2.845998014370821227e+00,2.846251662633436208e+00,2.836930289062449706e+00,2.854656643915003400e+00
5.300000000000000000e+01,3.716873431474781130e-03,2.850876433272101718e+00,2.851133904160779053e+00,2.841691955530605274e+00,2.859658122367863431e+00
5.400000000000000000e+01,3.619109236323380264e-03,2.855639643260687865e+00,2.855900811483719437e+00,2.846346037987733446e+00,2.864535184496807663e+00
5.500000000000000000e+01,3.525486916501893025e-03,2.860290667914580531e+00,2.860555400633152168e+00,2.850895469991993281e+00,2.869250401974042131e+00
5.600000000000000000e+01,3.435765284921101816e-03,2.864832455996442651e+00,2.865100613812025188e+00,2.855343093911476338e+00,2.873827605978912292e+00
5.700000000000000000e+01,3.349720989726395932e-03,2.869267881913369234e+00,2.869539319846023950e+00,2.859689639858311150e+00,2.878327621531003189e+00
5.800000000000000000e+01,3.267146919145785811e-03,2.873599746202203153e+00,2.873874314650730177e+00,2.863943845723927240e+00,2.882626573374960088e+00
5.900000000000000000e+01,3.187850773214971102e-03,2.877830776079510766e+00,2.878108321756187582e+00,2.868102223996966238e+00,2.886760456349612536e+00
6.000000000000000000e+01,3.111653782455838218e-03,2.881963626081362584e+00,2.882243992914148567e+00,2.872187738265914447e+00,2.890822803861010648e+00
6.100000000000000000e+01,3.038389556248367526e-03,2.886000878806337600e+00,2.886283908803287890e+00,2.876187154764221710e+00,2.894761883445529982e+00
6.200000000000000000e+01,2.967903045906841730e-03,2.889945045766246334e+00,2.890230579837942404e+00,2.880039148830529694e+00,2.898689660879452568e+00
6.300000000000000000e+01,2.900049609412350907e-03,2.893798568344907451e+00,2.894086447081206881e+00,2.883846534572775511e+00,2.902526570944669260e+00
6.400000000000000000e+01,2.834694166417212058e-03,2.897563818859453466e+00,2.897853883258069363e+00,2.887571844893233042e+00,2.906299008861022770e+00
6.500000000000000000e+01,2.771710433566374789e-03,2.901243101716672435e+00,2.901535193861574768e+00,2.891217203027550475e+00,2.909961787997775495e+00
6.600000000000000000e+01,2.710980231411972471e-03,2.904838654654550378e+00,2.905132618343336137e+00,2.894784662998761693e+00,2.913554800058085537e+00
6.700000000000000000e+01,2.652392855260165151e-03,2.908352650058145805e+00,2.908648331377878371e+00,2.898276211730296925e+00,2.917108419395785024e+00
6.800000000000000000e+01,2.595844503209118834e-03,2.911787196339893136e+00,2.912084444191130217e+00,2.901693771148361467e+00,2.920653891640913713e+00
6.900000000000000000e+01,2.541237755434670991e-03,2.915144339371866344e+00,2.915443005941736665e+00,2.905039200268098032e+00,2.923992569058747382e+00
7.000000000000000000e+01,2.488481099473561619e-03,2.918426063960207095e+00,2.918726005145284130e+00,2.908356481554890571e+00,2.927273529677626662e+00
7.100000000000000000e+01,2.437488496857871060e-03,2.921634295351395849e+00,2.921935371131615167e+00,2.911520801479169140e+00,2.930625092369343765e+00
7.200000000000000000e+01,2.388178986981385858e-03,2.924770900760401915e+00,2.925072975525845997e+00,2.914660395489363953e+00,2.933905430216213084e+00
7.300000000000000000e+01,2.340476324539390342e-03,2.927837690913143831e+00,2.928140633745193178e+00,2.917734707016232498e+00,2.937111322423659132e+00
7.400000000000000000e+01,2.294308647287190105e-03,2.930836421594013697e+00,2.931140106502896359e+00,2.920745310886657453e+00,2.940174757355897839e+00
7.500000000000000000e+01,2.249608171217128312e-03,2.933768795192369883e+00,2.934073101313456000e+00,2.923693730913897504e+00,2.943152502475334664e+00
7.600000000000000000e+01,2.206310910565502294e-03,2.936636462241800860e+00,2.936941273992730750e+00,2.926581441738782541e+00,2.946056453483719917e+00
7.700000000000000000e+01,2.164356420335436688e-03,2.939441022945670223e+00,2.939746230146639494e+00,2.929409870621287215e+00,2.948782711195132578e+00
7.800000000000000000e+01,2.123687559264075993e-03,2.942184028685593145e+00,2.942489526645153841e+00,2.932180399182058750e+00,2.951415453667265876e+00
7.900000000000000000e+01,2.084250271376653953e-03,2.944866983507806957e+00,2.945172673076672076e+00,2.934938926545144433e+00,2.953984175812522484e+00
8.000000000000000000e+01,2.045993384459717825e-03,2.947491345584324574e+00,2.947797133179522522e+00,2.937553063704950063e+00,2.956575746239388014e+00
8.100000000000000000e+01,2.008868423953931448e-03,2.950058528646518408e+00,2.950364326248026803e+00,2.940157749646802099e+00,2.959180218588295386e+00
8.200000000000000000e+01,1.972829440916335289e-03,2.952569903388024386e+00,2.952875628510529538e+00,2.942709638337106970e+00,2.961713431736319180e+00
8.300000000000000000e+01,1.937832852834816882e-03,2.955026798835578283e+00,2.955332374477458668e+00,2.945209907466911137e+00,2.964131180610698468e+00
8.400000000000000000e+01,1.903837296195963176e-03,2.957430503686626189e+00,2.957735858258210282e+00,2.947659698419105467e+00,2.966473771765577805e+00
8.500000000000000000e+01,1.870803489813076259e-03,2.959782267612045548e+00,2.960087334845500795e+00,2.950060117637007373e+00,2.968886741013052166e+00
8.600000000000000000e+01,1.838694108015545819e-03,2.962083302523756956e+00,2.962388021366385349e+00,2.952412237939839645e+00,2.971182204722507603e+00
8.700000000000000000e+01,1.807473662885149962e-03,2.964334783806544138e+00,2.964639098299604481e+00,2.954611571086500632e+00,2.973341223809892409e+00
8.800000000000000000e+01,1.777108394800549574e-03,2.966537851514294388e+00,2.966841710659009479e+00,2.956750041813879903e+00,2.975442793262197405e+00
8.900000000000000000e+01,1.747566170619017705e-03,2.968693611529943155e+00,2.968996969142546405e+00,2.958844620233568090e+00,2.977643387005774578e+00
9.000000000000000000e+01,1.718816388885465027e-03,2.970803136689700530e+00,2.971105951247046573e+00,2.960898134989185415e+00,2.979717322837917237e+00
9.100000000000000000e+01,1.690829891513522107e-03,2.972867467872882585e+00,2.973169702350128674e+00,2.962911444639346303e+00,2.981807271409281590e+00
9.200000000000000000e+01,1.663578881432854198e-03,2.974887615055736845e+00,2.975189236757769251e+00,2.964995359557738297e+00,2.983848783107370117e+00
9.300000000000000000e+01,1.637036845741316957e-03,2.976864558331475230e+00,2.977165538719082960e+00,2.966877298449619449e+00,2.985779468567738348e+00
9.400000000000000000e+01,1.611178483940702835e-03,2.978799248896960794e+00,2.979099563409067120e+00,2.968794900214311472e+00,2.987839289928916564e+00
