sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
4.700000000000000000e+01,4.801455912794750855e-03,2.734162714117388315e+00,2.734405095384695894e+00,2.721718072123435750e+00,2.749156807019366600e+00
4.800000000000000000e+01,4.665155597516274996e-03,2.740169181259208830e+00,2.740409826475821653e+00,2.727797437353942200e+00,2.755160244433918493e+00
4.900000000000000000e+01,4.535136837917813635e-03,2.746034829912440411e+00,2.746273504031106594e+00,2.733738845599636758e+00,2.761003116756276299e+00
5.000000000000000000e+01,4.410999603325636495e-03,2.751762707607801506e+00,2.751999198986398110e+00,2.739546955813679130e+00,2.766911208852634640e+00
5.100000000000000000e+01,4.292376353683727795e-03,2.757355834575232922e+00,2.757589954461383108e+00,2.745183159257019501e+00,2.772690411732403160e+00
5.200000000000000000e+01,4.178928838952644491e-03,2.762817197981048967e+00,2.763048779887203210e+00,2.750658718357593013e+00,2.778319649409386471e+00
5.300000000000000000e+01,4.070345267810701953e-03,2.768149746940063327e+00,2.768378645930867687e+00,2.756150960771804215e+00,2.783714503903716331e+00
5.400000000000000000e+01,3.966337797008325991e-03,2.773356388235896475e+00,2.773582480146973950e+00,2.761530715107896938e+00,2.788750388773887146e+00
5.500000000000000000e+01,3.866640299898951340e-03,2.778439982719808299e+00,2.778663163323963126e+00,2.766709404794390537e+00,2.793616787579547456e+00
5.600000000000000000e+01,3.771006378680417676e-03,2.783403342325283525e+00,2.783623526460442310e+00,2.771671255728769268e+00,2.798350462638999225e+00
5.700000000000000000e+01,3.679207589928432803e-03,2.788249227649139517e+00,2.788466348319952104e+00,2.776548492450137129e+00,2.803135982676162818e+00
5.800000000000000000e+01,3.591031857259736892e-03,2.792980346040734307e+00,2.793194353504102168e+00,2.781296718844992633e+00,2.807855225448738778e+00
5.900000000000000000e+01,3.506282048560629364e-03,2.797599350147362163e+00,2.797810210990427482e+00,2.785922994923293761e+00,2.812453360587994222e+00
6.000000000000000000e+01,3.424774698268438951e-03,2.802108836862786667e+00,2.802316533081010252e+00,2.790400683569291385e+00,2.816873003067154713e+00
6.100000000000000000e+01,3.346338857789261413e-03,2.806511346631856529e+00,2.806715874713329839e+00,2.794793041040281256e+00,2.821081664436060787e+00
