rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,8.000000000000000000e+01,1.600000000000000000e+01,1.494088079762359231e-02,2.681983378886365621e+00,2.682127405198856174e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.100000000000000000e+01,1.619999999999999929e+01,1.469402485172400380e-02,2.683561172490600999e+00,2.683706305340712639e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.200000000000000000e+01,1.640000000000000213e+01,1.445406209935570958e-02,2.685115045507640907e+00,2.685261276931147911e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.300000000000000000e+01,1.660000000000000142e+01,1.422072217353276269e-02,2.686646003355445789e+00,2.686793326122753900e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.400000000000000000e+01,1.680000000000000071e+01,1.399374828739968595e-02,2.688154999628208142e+00,2.688303407206440454e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.500000000000000000e+01,1.700000000000000000e+01,1.377289640660047526e-02,2.689642938403702832e+00,2.689792424921183311e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.600000000000000000e+01,1.719999999999999929e+01,1.355793448079523067e-02,2.691110676467407536e+00,2.691261236680599911e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.700000000000000000e+01,1.740000000000000213e+01,1.334864172948287478e-02,2.692559025457311073e+00,2.692710654719871144e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.800000000000000000e+01,1.760000000000000142e+01,1.314480797773413638e-02,2.693988753929449587e+00,2.694141448163302588e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.900000000000000000e+01,1.780000000000000071e+01,1.294623303783994442e-02,2.695400589345342546e+00,2.695554345013869035e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.000000000000000000e+01,1.800000000000000000e+01,1.275272613323980009e-02,2.696795219985186343e+00,2.696950034068100965e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.100000000000000000e+01,1.819999999999999929e+01,1.256410536141881924e-02,2.698173296787244713e+00,2.698329166757315711e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.200000000000000000e+01,1.840000000000000213e+01,1.238019719275406695e-02,2.699535435115147042e+00,2.699692358916561563e+00,0.000000000000000000e+00
