sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
1.060000000000000000e+02,1.642406637073764520e-03,2.869985328599174768e+00,2.869910277804438969e+00,2.850775680000567913e+00,2.887471880822028769e+00
1.070000000000000000e+02,1.620421543657233742e-03,2.871534513532537414e+00,2.871457422133839810e+00,2.852319384800600321e+00,2.889208381971202222e+00
1.080000000000000000e+02,1.598919754932797994e-03,2.873045297213315141e+00,2.872966291130763850e+00,2.853831050938118175e+00,2.890921865138106561e+00
1.090000000000000000e+02,1.577886646596760208e-03,2.874518334683079157e+00,2.874437537592507752e+00,2.855309103368281587e+00,2.892356723550614905e+00
1.100000000000000000e+02,1.557308157724596274e-03,2.875954265144422095e+00,2.875871798389242340e+00,2.856755701005584847e+00,2.893706361173418617e+00
1.110000000000000000e+02,1.537170764429921519e-03,2.877353712456969692e+00,2.877269694970927105e+00,2.858169859928273215e+00,2.894999206172984341e+00
1.120000000000000000e+02,1.517461454970427332e-03,2.878717285615477017e+00,2.878631833855553435e+00,2.859551930606090586e+00,2.896336006932328733e+00
1.130000000000000000e+02,1.498167706209577047e-03,2.880045579210091855e+00,2.879958807099159745e+00,2.860902405100403723e+00,2.897764735086546750e+00
1.140000000000000000e+02,1.479277461349328077e-03,2.881339173869827519e+00,2.881251192748138568e+00,2.862221763580522271e+00,2.899296038698270461e+00
1.150000000000000000e+02,1.460779108855116267e-03,2.882598636690649307e+00,2.882509555276036917e+00,2.863508055441265299e+00,2.900785219252964175e+00
1.160000000000000000e+02,1.442661462499832950e-03,2.883824521647476491e+00,2.883734446003318297e+00,2.864763611411689670e+00,2.902049139823360324e+00
1.170000000000000000e+02,1.424913742458626354e-03,2.885017369992072922e+00,2.884926403502747760e+00,2.865989455061409341e+00,2.903257435952086407e+00
1.180000000000000000e+02,1.407525557390999207e-03,2.886177710636628646e+00,2.886085953989786734e+00,2.867186022707205684e+00,2.904352851968143856e+00
1.190000000000000000e+02,1.390486887451056024e-03,2.887306060523617379e+00,2.887213611698823623e+00,2.868353740668461160e+00,2.905414423571064830e+00
1.200000000000000000e+02,1.373788068170696220e-03,2.888402924983335840e+00,2.888309879246651946e+00,2.869491855486141496e+00,2.906442685594362363e+00
1.210000000000000000e+02,1.357419775164293982e-03,2.889468798078270062e+00,2.889375247982403305e+00,2.870600408160836725e+00,2.907438160815664752e+00
1.220000000000000000e+02,1.341373009606798301e-03,2.890504162935892296e+00,2.890410198325333191e+00,2.871679707766274792e+00,2.908401360762910670e+00
1.230000000000000000e+02,1.325639084440373514e-03,2.891509492070058140e+00,2.891415200090726056e+00,2.872733430691512435e+00,2.909332786074638744e+00
1.240000000000000000e+02,1.310209611267624304e-03,2.892485247691207295e+00,2.892390712804671082e+00,2.873763752020785933e+00,2.910232926846363810e+00
1.250000000000000000e+02,1.295076487892189362e-03,2.893431882005677469e+00,2.893337186007101547e+00,2.874700372249105129e+00,2.911102262962477205e+00
1.260000000000000000e+02,1.280231886469998699e-03,2.894349837505508560e+00,2.894255059545098874e+00,2.875571941287746291e+00,2.912017139862535409e+00
1.270000000000000000e+02,1.265668242236841655e-03,2.895239547247907552e+00,2.895144763855844072e+00,2.876419122879701362e+00,2.912830099504506443e+00
1.280000000000000000e+02,1.251378242780078632e-03,2.896101435125177037e+00,2.896006720239304499e+00,2.877239369463862939e+00,2.913613651850630593e+00
1.290000000000000000e+02,1.237354817824343157e-03,2.896935916125971566e+00,2.896841341122108116e+00,2.878035408081132118e+00,2.914368240950433009e+00
1.300000000000000000e+02,1.223591129502971282e-03,2.897743396587777465e+00,2.897649030312565710e+00,2.878808143929060481e+00,2.915299815941467809e+00
1.310000000000000000e+02,1.210080563088646120e-03,2.898524274440275050e+00,2.898430183246091030e+00,2.879561949986061631e+00,2.916230556340077218e+00
1.320000000000000000e+02,1.196816718158385043e-03,2.899278939441419123e+00,2.899185187223090487e+00,2.880520096419625364e+00,2.917130716874666074e+00
1.330000000000000000e+02,1.183793400169494588e-03,2.900007773405565814e+00,2.899914421638850381e+00,2.881352264347401437e+00,2.918000749980373953e+00
1.340000000000000000e+02,1.171004612424567451e-03,2.900711150423005424e+00,2.900618258204679556e+00,2.882051815740276357e+00,2.918784100245996438e+00
1.350000000000000000e+02,1.158444548404892254e-03,2.901389437073865984e+00,2.901297061162795732e+00,2.882858545955435670e+00,2.919495972111993964e+00
1.360000000000000000e+02,1.146107584452880348e-03,2.902042992634155105e+00,2.901951187493410966e+00,2.883703028981820626e+00,2.920180369357933792e+00
1.370000000000000000e+02,1.133988272785286817e-03,2.902672169274326919e+00,2.902580987114733890e+00,2.884388731679838003e+00,2.920833965029062895e+00
1.380000000000000000e+02,1.122081334820053226e-03,2.903277312252813047e+00,2.903186803076730271e+00,2.885037916708876882e+00,2.921459815220274425e+00
1.390000000000000000e+02,1.110381654800609913e-03,2.903858760102463243e+00,2.903768971748326599e+00,2.885634043708695806e+00,2.922059393051408716e+00
1.400000000000000000e+02,1.098884273702428619e-03,2.904416844810630671e+00,2.904327822998097552e+00,2.886123982071548077e+00,2.922587744010235244e+00
1.410000000000000000e+02,1.087584383407475420e-03,2.904951891993762469e+00,2.904863680369127454e+00,2.886699271615266849e+00,2.923052413167003039e+00
1.420000000000000000e+02,1.076477321133049786e-03,2.905464221066801578e+00,2.905376861248587961e+00,2.887206384893561406e+00,2.923491424255281412e+00
1.430000000000000000e+02,1.065558564102250675e-03,2.905954145406373090e+00,2.905867677031230389e+00,2.887692137926115343e+00,2.924020036036754089e+00
1.440000000000000000e+02,1.054823724444055397e-03,2.906421972508880014e+00,2.906336433277444620e+00,2.888157525573763706e+00,2.924458003039751564e+00
1.450000000000000000e+02,1.044268544311640571e-03,2.906868004143770889e+00,2.906783429866276691e+00,2.888600899736327055e+00,2.924820871753660789e+00
1.460000000000000000e+02,1.033888891208239536e-03,2.907292536501994373e+00,2.907208961144161830e+00,2.889024961029799776e+00,2.925160652635046432e+00
1.470000000000000000e+02,1.023680753510393740e-03,2.907695860339424065e+00,2.907613316067808817e+00,2.889429955819615703e+00,2.925477691056464380e+00
1.480000000000000000e+02,1.013640236179046920e-03,2.908078261115460528e+00,2.907996778342588851e+00,2.889816125688565052e+00,2.925772325894874015e+00
1.490000000000000000e+02,1.003763556649419231e-03,2.908440019128170295e+00,2.908359626557463162e+00,2.890183707573401595e+00,2.926044889685305517e+00
1.500000000000000000e+02,9.940470408911167375e-04,2.908781409644099814e+00,2.908702134314335552e+00,2.890532933895900047e+00,2.926295708769303783e+00
1.510000000000000000e+02,9.844871196303805073e-04,2.909102703024749381e+00,2.909024570354159067e+00,2.890889871401140621e+00,2.926525103440544395e+00
1.520000000000000000e+02,9.750803247268134948e-04,2.909404164848910401e+00,2.909327198678478332e+00,2.891292507564857672e+00,2.926734017845900482e+00
