sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
5.900000000000000000e+01,3.306260422450313548e-03,3.307770996837459173e-03,2.773272078468458357e+00,2.775677257390297026e+00,2.405178921838668771e-03,4.568830624740449764e-04
6.000000000000000000e+01,3.230100436084904804e-03,3.231508741034672116e-03,2.775078900352354605e+00,2.777639399938120146e+00,2.560499585765541042e-03,4.359941672507083865e-04
6.100000000000000000e+01,3.156864029680344231e-03,3.158171563498420216e-03,2.776785455555434545e+00,2.779496554041662293e+00,2.711098486227747628e-03,4.141875626515467701e-04
6.200000000000000000e+01,3.086396598006503188e-03,3.087605020086865108e-03,2.778394154997995358e+00,2.781251083005283675e+00,2.856928007288317417e-03,3.915316914042676899e-04
6.300000000000000000e+01,3.018553928585070590e-03,3.019665034369240462e-03,2.779907343762119787e+00,2.782905289204686827e+00,2.997945442567040431e-03,3.680920766888640117e-04
6.400000000000000000e+01,2.953201356203080403e-03,2.954217055074601431e-03,2.781327302290432790e+00,2.784461415433832077e+00,3.134113143399286372e-03,3.439314658946202030e-04
6.500000000000000000e+01,2.890212997941808692e-03,2.891135293702493721e-03,2.782656247636329017e+00,2.785921646276965813e+00,3.265398640636796301e-03,3.191099622559256943e-04
6.600000000000000000e+01,2.829471059961195800e-03,2.830302033581661575e-03,2.783896334764579095e+00,2.787288109502092937e+00,3.391774737513841842e-03,2.936851456882827449e-04
6.700000000000000000e+01,2.770865208348650792e-03,2.771607002725194353e-03,2.785049657898712727e+00,2.788562877471193691e+00,3.513219572480963393e-03,2.677121840168883438e-04
6.800000000000000000e+01,2.714291997265750201e-03,2.714946803749741008e-03,2.786118251909215360e+00,2.789747968560607028e+00,3.629716651391667881e-03,2.412439356747064778e-04
6.900000000000000000e+01,2.659654348428162202e-03,2.660224394923562698e-03,2.787104093736946453e+00,2.790845348586951324e+00,3.741254850004871457e-03,2.143310448357027553e-04
7.000000000000000000e+01,2.606861076650831329e-03,2.607348617100900979e-03,2.788009103844035774e+00,2.791856932231814969e+00,3.847828387779195225e-03,1.870220298414437821e-04
7.100000000000000000e+01,2.555826456797316744e-03,2.556233761903588600e-03,2.788835147685884586e+00,2.792784584459726993e+00,3.949436773842407433e-03,1.593633656888915340e-04
7.200000000000000000e+01,2.506469828001509689e-03,2.506799177037241297e-03,2.789584037197268884e+00,2.793630121924320697e+00,4.046084727051812990e-03,1.313995612683971359e-04
7.300000000000000000e+01,2.458715231493016802e-03,2.458968905089889499e-03,2.790257532285217223e+00,2.794395314357835058e+00,4.137782072617834928e-03,1.031732319478617654e-04
7.400000000000000000e+01,2.412491078762909937e-03,2.412671352564161806e-03,2.790857342323433521e+00,2.795081885940144506e+00,4.224543616710985106e-03,7.472516803841422472e-05
7.500000000000000000e+01,2.367729847162540480e-03,2.367838986248284143e-03,2.791385127641336172e+00,2.795691516643266539e+00,4.306389001930366334e-03,4.609439961011929654e-05
7.600000000000000000e+01,2.324367800341016477e-03,2.324408054342408207e-03,2.791842501003297450e+00,2.796225843548525880e+00,4.383342545228430254e-03,1.731825805961761944e-05
7.700000000000000000e+01,2.282344731202598422e-03,2.282318330031118513e-03,2.792231029073091619e+00,2.796686462133568085e+00,4.455433060476465812e-03,-1.156756519682389239e-05
7.800000000000000000e+01,2.241603725308479074e-03,2.241512875434910519e-03,2.792552233859202815e+00,2.797074927528269139e+00,4.522693669066324418e-03,-4.052896260964278241e-05
7.900000000000000000e+01,2.202090942862376579e-03,2.201937824087390506e-03,2.792807594137526106e+00,2.797392755736331615e+00,4.585161598805509442e-03,-6.953335668646865031e-05
8.000000000000000000e+01,2.163755417609649831e-03,2.163542180274354975e-03,2.792998546848229680e+00,2.797641424822749912e+00,4.642877974520231987e-03,-9.854964824551615266e-05
8.100000000000000000e+01,2.126548871148392379e-03,2.126277633738804691e-03,2.793126488464173995e+00,2.797822376066389616e+00,4.695887602215620404e-03,-1.275481665470312720e-04
8.200000000000000000e+01,2.090425541300783632e-03,2.090098388405170742e-03,2.793192776328829119e+00,2.797937015076101375e+00,4.744238747272255807e-03,-1.565006211172725870e-04
8.300000000000000000e+01,2.055342023326262729e-03,2.054961003908685989e-03,2.793198729961712701e+00,2.797986712871804116e+00,4.787982910091415079e-03,-1.853800551210316172e-04
8.400000000000000000e+01,2.021257122876785398e-03,2.020824248834011613e-03,2.793145632329657513e+00,2.797972806930035361e+00,4.827174600377848179e-03,-2.141608001646755355e-04
8.500000000000000000e+01,1.988131719700328166e-03,1.987648964672705278e-03,2.793034731083458677e+00,2.797896602193540527e+00,4.861871110081850134e-03,-2.428184324203552791e-04
8.600000000000000000e+01,1.955928641193353627e-03,1.955397939603290784e-03,2.792867239759030618e+00,2.797759372046769055e+00,4.892132287738437668e-03,-2.713297299736794344e-04
8.700000000000000000e+01,1.924612544987591971e-03,1.924035791281937264e-03,2.792644338941755233e+00,2.797562359257587339e+00,4.918020315832105638e-03,-2.996726313339026504e-04
8.800000000000000000e+01,1.894149809832251525e-03,1.893528857907259347e-03,2.792367177394952105e+00,2.797306776885270185e+00,4.939599490318080655e-03,-3.278261950395711111e-04
8.900000000000000000e+01,1.864508434100722997e-03,1.863845096890439507e-03,2.792036873151698462e+00,2.796993809156512523e+00,4.956936004814060936e-03,-3.557705602996730221e-04
