rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,6.100000000000000000e+01,1.220000000000000107e+01,2.140270106463494637e-02,2.640971444132193646e+00,2.641075954123906389e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.200000000000000000e+01,1.240000000000000036e+01,2.094800117365772443e-02,2.643192957536621535e+00,2.643299314009748713e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.300000000000000000e+01,1.260000000000000142e+01,2.050964285210783375e-02,2.645363885082431032e+00,2.645472063616751690e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.400000000000000000e+01,1.280000000000000071e+01,2.008680326100843738e-02,2.647486606863316272e+00,2.647596581818105754e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.500000000000000000e+01,1.300000000000000000e+01,1.967871249885442403e-02,2.649563389150146442e+00,2.649675133837038121e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.600000000000000000e+01,1.320000000000000107e+01,1.928464947358419015e-02,2.651596389338820359e+00,2.651709876187449133e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.700000000000000000e+01,1.340000000000000036e+01,1.890393815167532368e-02,2.653587660647626745e+00,2.653702861363012921e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.800000000000000000e+01,1.360000000000000142e+01,1.853594414497327161e-02,2.655539156589092009e+00,2.655656042300567066e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.900000000000000000e+01,1.380000000000000071e+01,1.818007160047937013e-02,2.657452735239028918e+00,2.657571276639957070e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.000000000000000000e+01,1.400000000000000000e+01,1.783576036234232540e-02,2.659330163320528406e+00,2.659450330798430517e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.100000000000000000e+01,1.420000000000000107e+01,1.750248337880317556e-02,2.661173120115976953e+00,2.661294883873485340e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.200000000000000000e+01,1.440000000000000036e+01,1.717974432990644271e-02,2.662983201221526652e+00,2.663106531387651632e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.300000000000000000e+01,1.460000000000000142e+01,1.686707545447231962e-02,2.664761922153618290e+00,2.664886788885703073e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.400000000000000000e+01,1.480000000000000071e+01,1.656403555717808965e-02,2.666510721815638085e+00,2.666637095391982903e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.500000000000000000e+01,1.500000000000000000e+01,1.627020817866487584e-02,2.668230965832913082e+00,2.668358816736485117e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.600000000000000000e+01,1.520000000000000107e+01,1.598519991340660237e-02,2.669923949762012860e+00,2.670053248755587916e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.700000000000000000e+01,1.540000000000000036e+01,1.570863886168411341e-02,2.671590902179485472e+00,2.671721620372375927e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.800000000000000000e+01,1.560000000000000142e+01,1.544017320342610383e-02,2.673232987656266602e+00,2.673365096563038001e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.900000000000000000e+01,1.580000000000000071e+01,1.517946988293379304e-02,2.674851309620526862e+00,2.674984781212318641e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.000000000000000000e+01,1.600000000000000000e+01,1.492621339461963799e-02,2.676446913112975778e+00,2.676581719861766739e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.100000000000000000e+01,1.619999999999999929e+01,1.468010466087760202e-02,2.678020787439769013e+00,2.678156902355763425e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.200000000000000000e+01,1.640000000000000213e+01,1.444085999408109902e-02,2.679573868724591801e+00,2.679711265387585861e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.300000000000000000e+01,1.660000000000000142e+01,1.420821013548674745e-02,2.681107042363197301e+00,2.681245694948181324e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.400000000000000000e+01,1.680000000000000071e+01,1.398189936451929571e-02,2.682621145384802119e+00,2.682761028682049798e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.500000000000000000e+01,1.700000000000000000e+01,1.376168467253553566e-02,2.684116968721682372e+00,2.684258058152030113e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.600000000000000000e+01,1.719999999999999929e+01,1.354733499572224019e-02,2.685595259389360834e+00,2.685737531015100821e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.700000000000000000e+01,1.740000000000000213e+01,1.333863050228121898e-02,2.687056722582155111e+00,2.687200153113598944e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.800000000000000000e+01,1.760000000000000142e+01,1.313536192950161795e-02,2.688502023684530506e+00,2.688646590483096954e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.900000000000000000e+01,1.780000000000000071e+01,1.293732996672106172e-02,2.689931790201023354e+00,2.690077471279022081e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.000000000000000000e+01,1.800000000000000000e+01,1.274434468053753551e-02,2.691346613608811111e+00,2.691493387625929046e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.100000000000000000e+01,1.819999999999999929e+01,1.255622497895852660e-02,2.692747051133459468e+00,2.692894897391013398e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.200000000000000000e+01,1.840000000000000213e+01,1.237279811146655903e-02,2.694133627451288149e+00,2.694282525883885615e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.300000000000000000e+01,1.860000000000000142e+01,1.219389920224365868e-02,2.695506836320130439e+00,2.695656767485409500e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.400000000000000000e+01,1.880000000000000071e+01,1.201937081403595294e-02,2.696867142141516904e+00,2.697018087208268966e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.500000000000000000e+01,1.900000000000000000e+01,1.184906254035442141e-02,2.698214981455821171e+00,2.698366922190326367e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.600000000000000000e+01,1.920000000000000284e+01,1.168283062390341326e-02,2.699550764372980804e+00,2.699703683124311748e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.700000000000000000e+01,1.940000000000000213e+01,1.152053759930443677e-02,2.700874875941156272e+00,2.701028755625412892e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.800000000000000000e+01,1.960000000000000142e+01,1.136205195834365245e-02,2.702187677454580328e+00,2.702342501538368857e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.900000000000000000e+01,1.980000000000000071e+01,1.120724783611632552e-02,2.703489507704489370e+00,2.703645260187601096e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+02,2.000000000000000000e+01,1.105600471657411377e-02,2.704780684173045291e+00,2.704937349570792904e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.010000000000000000e+02,2.020000000000000284e+01,1.090820715610116808e-02,2.706061504173991494e+00,2.706219067499222142e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.020000000000000000e+02,2.040000000000000213e+01,1.076374452385450362e-02,2.707332245941685755e+00,2.707490692686481459e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.030000000000000000e+02,2.060000000000000142e+01,1.062251075770401579e-02,2.708593169669378575e+00,2.708752485786878772e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.040000000000000000e+02,2.080000000000000071e+01,1.048440413469861436e-02,2.709844518499786581e+00,2.710004690386152770e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.050000000000000000e+02,2.100000000000000000e+01,1.034932705506796252e-02,2.711086519469920741e+00,2.711247533946075094e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.060000000000000000e+02,2.120000000000000284e+01,1.021718583884547067e-02,2.712319384410919021e+00,2.712481228704862080e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.070000000000000000e+02,2.140000000000000213e+01,1.008789053426768605e-02,2.713543310805775377e+00,2.713705972535096933e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.080000000000000000e+02,2.160000000000000142e+01,9.961354737168807288e-03,2.714758482605974077e+00,2.714921949760803255e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.090000000000000000e+02,2.180000000000000071e+01,9.837495420647535821e-03,2.715965071008028975e+00,2.716129331934401314e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.100000000000000000e+02,2.200000000000000000e+01,9.716232774336879333e-03,2.717163235194197668e+00,2.717328278577776146e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.110000000000000000e+02,2.220000000000000284e+01,9.597490052656471385e-03,2.718353123035436081e+00,2.718518937885993747e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.120000000000000000e+02,2.240000000000000213e+01,9.481193431472552738e-03,2.719534871760152850e+00,2.719701447396462246e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.130000000000000000e+02,2.260000000000000142e+01,9.367271872631534671e-03,2.720708608590840960e+00,2.720875934626151071e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.140000000000000000e+02,2.280000000000000071e+01,9.255656995871849521e-03,2.721874451347707335e+00,2.722042517675824502e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.150000000000000000e+02,2.300000000000000000e+01,9.146282957653453435e-03,2.723032509022280223e+00,2.723201305804300087e+00,0.000000000000000000e+00
