sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
4.500000000000000000e+01,4.795811978161854117e-03,4.808804037057619850e-03,2.733677305651743161e+00,2.729354418637528479e+00,-4.322887014214682466e-03,2.709042588601606738e-03
4.600000000000000000e+01,4.653874840320014646e-03,4.666701905961457425e-03,2.737194556976005444e+00,2.732941887019520788e+00,-4.252669956484655955e-03,2.756211991416845919e-03
4.700000000000000000e+01,4.518886741601603647e-03,4.531546969382926372e-03,2.740573012067519354e+00,2.736388820268886857e+00,-4.184191798632497239e-03,2.801625379271088789e-03
4.800000000000000000e+01,4.390378264817395779e-03,4.402870534354163916e-03,2.743815603751260657e+00,2.739698224202890220e+00,-4.117379548370436737e-03,2.845374312476778300e-03
4.900000000000000000e+01,4.267920316822929570e-03,4.280244123875315276e-03,2.746925171727371939e+00,2.742873031380347992e+00,-4.052140347023946987e-03,2.887543847482021420e-03
5.000000000000000000e+01,4.151119943404996473e-03,4.163275306290861733e-03,2.749904473693000728e+00,2.745916108330618499e+00,-3.988365362382229051e-03,2.928212880279890129e-03
5.100000000000000000e+01,4.039616650758816839e-03,4.051604029336131930e-03,2.752756194165589587e+00,2.748830260917402679e+00,-3.925933248186908031e-03,2.967454492263099652e-03
5.200000000000000000e+01,3.933079163847530077e-03,3.944899389406664875e-03,2.755482951444773843e+00,2.751618238237234948e+00,-3.864713207538894579e-03,3.005336294215732451e-03
5.300000000000000000e+01,3.831202562630652703e-03,3.842856777261087486e-03,2.758087303107769284e+00,2.754282735412977079e+00,-3.804567694792204691e-03,3.041920765064487497e-03
5.400000000000000000e+01,3.733705746043274390e-03,3.745195350231665492e-03,2.760571750335787389e+00,2.756826395548169550e+00,-3.745354787617838355e-03,3.077265582743571315e-03
5.500000000000000000e+01,3.640329181027069944e-03,3.651655788409181435e-03,2.762938741322787717e+00,2.759251811062633841e+00,-3.686930260153875594e-03,3.111423945159730309e-03
5.600000000000000000e+01,3.550832900126409900e-03,3.561998298458113072e-03,2.765190673962476975e+00,2.761561524577798465e+00,-3.629149384678509449e-03,3.144444879764840550e-03
5.700000000000000000e+01,3.464994716380129149e-03,3.476000833915725893e-03,2.767329897974671660e+00,2.763758029486705237e+00,-3.571868487966423089e-03,3.176373540648480542e-03
5.800000000000000000e+01,3.382608628635830946e-03,3.393457505208339903e-03,2.769358716598046666e+00,2.765843770311753769e+00,-3.514946286292897071e-03,3.207251492433060847e-03
5.900000000000000000e+01,3.303483394129225637e-03,3.314177156319206025e-03,2.771279387951509854e+00,2.767821142930205092e+00,-3.458245021304762190e-03,3.237116980513654596e-03
6.000000000000000000e+01,3.227441248320739135e-03,3.237982088179922925e-03,2.773094126144509453e+00,2.769692494727908905e+00,-3.401631416600547908e-03,3.266005187443132840e-03
6.100000000000000000e+01,3.154316754659313229e-03,3.164706911524283774e-03,2.774805102200982976e+00,2.771460124727136876e+00,-3.344977473846100224e-03,3.293948475409980148e-03
6.200000000000000000e+01,3.083955769225875040e-03,3.094197514217006135e-03,2.776414444846765139e+00,2.773126283720347640e+00,-3.288161126417499247e-03,3.320976614947346306e-03
6.300000000000000000e+01,3.016214507160164260e-03,3.026310130013036299e-03,2.777924241199290378e+00,2.774693174435236553e+00,-3.231066764053824869e-03,3.347117000102706186e-03
6.400000000000000000e+01,2.950958699446554548e-03,2.960910497368253978e-03,2.779336537390882711e+00,2.776162951746308671e+00,-3.173585644574039577e-03,3.372394850380544540e-03
