sigma,P_mean,Ds_of_mean_P,mean_of_Ds
7.000000000000000000e+01,2.932662665448729916e-03,2.441622468129761803e+00,2.441963418084337256e+00
7.100000000000000000e+01,2.882386901280242948e-03,2.435905717701960960e+00,2.436228340862795161e+00
7.200000000000000000e+01,2.833772204414113267e-03,2.430089430029011233e+00,2.430394346582938070e+00
7.300000000000000000e+01,2.786743569598899243e-03,2.424177251796355126e+00,2.424465096862694846e+00
7.400000000000000000e+01,2.741230281564641710e-03,2.418172779795608296e+00,2.418444200729707116e+00
7.500000000000000000e+01,2.697165617571452376e-03,2.412079559132633833e+00,2.412335213014659807e+00
7.600000000000000000e+01,2.654486574181449086e-03,2.405901081622262350e+00,2.406141632921872553e+00
7.700000000000000000e+01,2.613133615992834988e-03,2.399640784361243284e+00,2.399866902769799637e+00
7.800000000000000000e+01,2.573050444312335091e-03,2.393302048471609211e+00,2.393514406893415103e+00
7.900000000000000000e+01,2.534183783951892734e-03,2.386888198007180328e+00,2.387087470700706149e+00
8.000000000000000000e+01,2.496483186521247094e-03,2.380402499014835804e+00,2.380589359875340705e+00
8.100000000000000000e+01,2.459900848752596524e-03,2.373848158742447811e+00,2.374023279717866863e+00
8.200000000000000000e+01,2.424391444539761471e-03,2.367228324985222621e+00,2.367392374617388384e+00
8.300000000000000000e+01,2.389911969504226238e-03,2.360546085563306029e+00,2.360699727646407897e+00
8.400000000000000000e+01,2.356421597016218183e-03,2.353804467922358867e+00,2.353948360271400198e+00
8.500000000000000000e+01,2.323881544702255820e-03,2.347006438849190690e+00,2.347141232171571890e+00
8.600000000000000000e+01,2.292254950562818208e-03,2.340154904296114058e+00,2.340281241159204217e+00
8.700000000000000000e+01,2.261506757906248544e-03,2.333252709305759343e+00,2.333371223194414590e+00
8.800000000000000000e+01,2.231603608378932707e-03,2.326302638029968506e+00,2.326413952487976555e+00
8.900000000000000000e+01,2.202513742437963232e-03,2.319307413836074527e+00,2.319412141685864626e+00
9.000000000000000000e+01,2.174206906672053984e-03,2.312269699493977093e+00,2.312368442129459911e+00
9.100000000000000000e+01,2.146654267429870793e-03,2.305192097438256926e+00,2.305285444185587895e+00
9.200000000000000000e+01,2.119828330263136967e-03,2.298077150098890797e+00,2.298165677640956694e+00
9.300000000000000000e+01,2.093702864735196879e-03,2.290927340295390024e+00,2.291011612155639643e+00
9.400000000000000000e+01,2.068252834184893495e-03,2.283745091689223017e+00,2.283825657770690132e+00
9.500000000000000000e+01,2.043454330070919485e-03,2.276532769289166591e+00,2.276610165465151603e+00
9.600000000000000000e+01,2.019284510553816768e-03,2.269292680004401319e+00,2.269367427757857936e+00
9.700000000000000000e+01,1.995721543001689833e-03,2.262027073242204089e+00,2.262099679349857784e+00
9.800000000000000000e+01,1.972744550131935032e-03,2.254738141544722296e+00,2.254809097803568640e+00
9.900000000000000000e+01,1.950333559525088212e-03,2.247428021261078879e+00,2.247497804254661169e+00
1.000000000000000000e+02,1.928469456268474972e-03,2.240098793251686260e+00,2.240167864153356003e+00
1.010000000000000000e+02,1.907133938506990747e-03,2.232752483620609407e+00,2.232821288031574980e+00
1.020000000000000000e+02,1.886309475696211230e-03,2.225391064472723279e+00,2.225460032293008705e+00
1.030000000000000000e+02,1.865979269369298817e-03,2.218016454693071182e+00,2.218086000023140603e+00
1.040000000000000000e+02,1.846127216244004832e-03,2.210630520745157312e+00,2.210701041816378165e+00
1.050000000000000000e+02,1.826737873509613318e-03,2.203235077485270921e+00,2.203306956617947066e+00
1.060000000000000000e+02,1.807796426146031192e-03,2.195831888990942282e+00,2.195905492577826745e+00
1.070000000000000000e+02,1.789288656138525446e-03,2.188422669400734488e+00,2.188498347914851205e+00
1.080000000000000000e+02,1.771200913461964607e-03,2.181009083763346457e+00,2.181087171788904211e+00
1.090000000000000000e+02,1.753520088717872840e-03,2.173592748894366711e+00,2.173673565178994238e+00
1.100000000000000000e+02,1.736233587316296945e-03,2.166175234238052028e+00,2.166259081765542049e+00
1.110000000000000000e+02,1.719329305102446906e-03,2.158758062732963001e+00,2.158845228815621020e+00
1.120000000000000000e+02,1.702795605335369290e-03,2.151342711680153119e+00,2.151433468069110955e+00
1.130000000000000000e+02,1.686621296932632255e-03,2.143930613611934266e+00,2.144025216624513952e+00
1.140000000000000000e+02,1.670795613901176948e-03,2.136523157159654129e+00,2.136621847823499287e+00
1.150000000000000000e+02,1.655308195880170457e-03,2.129121687920223938e+00,2.129224692132428931e+00
1.160000000000000000e+02,1.640149069726911128e-03,2.121727509319558003e+00,2.121835038020206454e+00
1.170000000000000000e+02,1.625308632081683656e-03,2.114341883471604788e+00,2.114454132831331101e+00
1.180000000000000000e+02,1.610777632851883396e-03,2.106966032033149361e+00,2.107083183653110758e+00
1.190000000000000000e+02,1.596547159559838893e-03,2.099601137052428346e+00,2.099723358176478261e+00
1.200000000000000000e+02,1.582608622502558503e-03,2.092248341811400181e+00,2.092375785549437595e+00
1.210000000000000000e+02,1.568953740675110538e-03,2.084908751660442761e+00,2.085041557222528485e+00
1.220000000000000000e+02,1.555574528412608697e-03,2.077583434845589938e+00,2.077721727785744044e+00
1.230000000000000000e+02,1.542463282708735322e-03,2.070273423327407603e+00,2.070417315796412083e+00
1.240000000000000000e+02,1.529612571171549799e-03,2.062979713590456399e+00,2.063129304597197233e+00
1.250000000000000000e+02,1.517015220579865601e-03,2.055703267443514726e+00,2.055858643124248264e+00
1.260000000000000000e+02,1.504664306005889206e-03,2.048445012810390153e+00,2.048606246705106493e+00
1.270000000000000000e+02,1.492553140471995993e-03,2.041205844510247225e+00,2.041372997845233961e+00
1.280000000000000000e+02,1.480675265111609188e-03,2.033986625027190520e+00,2.034159747003971841e+00
1.290000000000000000e+02,1.469024439806014722e-03,2.026788185269836173e+00,2.026967313359139045e+00
1.300000000000000000e+02,1.457594634270745074e-03,2.019611325319143891e+00,2.019796485559731014e+00
1.310000000000000000e+02,1.446380019566802320e-03,2.012456815165684976e+00,2.012648022467201425e+00
1.320000000000000000e+02,1.435374960013518445e-03,2.005325395435314739e+00,2.005522653884744599e+00
1.330000000000000000e+02,1.424574005481294304e-03,1.998217778102968856e+00,1.998421081274534883e+00
1.340000000000000000e+02,1.413971884043773494e-03,1.991134647195933915e+00,1.991343978462913666e+00
1.350000000000000000e+02,1.403563494970246029e-03,1.984076659484362182e+00,1.984291992333340637e+00
1.360000000000000000e+02,1.393343902040256738e-03,1.977044445160376140e+00,1.977265743507190310e+00
1.370000000000000000e+02,1.383308327163431523e-03,1.970038608505818356e+00,1.970265827012174009e+00
1.380000000000000000e+02,1.373452144288581133e-03,1.963059728547930316e+00,1.963292812938782106e+00
1.390000000000000000e+02,1.363770873587049530e-03,1.956108359702988020e+00,1.956347247084170071e+00
1.400000000000000000e+02,1.354260175896184913e-03,1.949185032408339957e+00,1.949429651583889589e+00
1.410000000000000000e+02,1.344915847409595749e-03,1.942290253743093942e+00,1.942540525531780471e+00
1.420000000000000000e+02,1.335733814601658019e-03,1.935424508036337032e+00,1.935680345587326157e+00
1.430000000000000000e+02,1.326710129374434385e-03,1.928588257464476152e+00,1.928849566571241070e+00
1.440000000000000000e+02,1.317840964415848857e-03,1.921781942636319629e+00,1.922048622048980970e+00
1.450000000000000000e+02,1.309122608758595419e-03,1.915005983167129111e+00,1.915277924902559548e+00
1.460000000000000000e+02,1.300551463529834575e-03,1.908260778241264832e+00,1.908537867890556017e+00
1.470000000000000000e+02,1.292124037882305980e-03,1.901546707162832028e+00,1.901828824196202250e+00
1.480000000000000000e+02,1.283836945097990758e-03,1.894864129896008498e+00,1.895151147964399652e+00
1.490000000000000000e+02,1.275686898855944804e-03,1.888213387594031678e+00,1.888505174827206590e+00
1.500000000000000000e+02,1.267670709656392716e-03,1.881594803116538595e+00,1.881891222417831910e+00
1.510000000000000000e+02,1.259785281393594652e-03,1.875008681536794564e+00,1.875309590873709187e+00
1.520000000000000000e+02,1.252027608070397594e-03,1.868455310637838540e+00,1.868760563328712321e+00
1.530000000000000000e+02,1.244394770647776725e-03,1.861934961398288513e+00,1.862244406394279350e+00
1.540000000000000000e+02,1.236883934023010013e-03,1.855447888467280926e+00,1.855761370629991358e+00
1.550000000000000000e+02,1.229492344130490378e-03,1.848994330629146976e+00,1.849311691003644231e+00
1.560000000000000000e+02,1.222217325159466678e-03,1.842574511258344927e+00,1.842895587340926511e+00
1.570000000000000000e+02,1.215056276883328930e-03,1.836188638763701420e+00,1.836513264764845665e+00
1.580000000000000000e+02,1.208006672095315783e-03,1.829836907023176140e+00,1.830164914125149700e+00
1.590000000000000000e+02,1.201066054145795686e-03,1.823519495808866964e+00,1.823850712418049635e+00
1.600000000000000000e+02,1.194232034576516496e-03,1.817236571201976680e+00,1.817570823195679086e+00
1.610000000000000000e+02,1.187502290847462002e-03,1.810988285998770486e+00,1.811325396966543932e+00
1.620000000000000000e+02,1.180874564152159609e-03,1.804774780107439636e+00,1.805114571586524663e+00
1.630000000000000000e+02,1.174346657317510258e-03,1.798596180934814104e+00,1.798938472640145392e+00
1.640000000000000000e+02,1.167916432784399860e-03,1.792452603764975727e+00,1.792797213813396517e+00
1.650000000000000000e+02,1.161581810665532821e-03,1.786344152129011320e+00,1.786690897257357191e+00
1.660000000000000000e+02,1.155340766877116206e-03,1.780270918165666627e+00,1.780619613942962642e+00
1.670000000000000000e+02,1.149191331341180115e-03,1.774232982973197759e+00,1.774583444007515887e+00
1.680000000000000000e+02,1.143131586255485051e-03,1.768230416953968653e+00,1.768582457092511717e+00
1.690000000000000000e+02,1.137159664428098044e-03,1.762263280149662936e+00,1.762616712673290342e+00
1.700000000000000000e+02,1.131273747673893632e-03,1.756331622568344297e+00,1.756686260380697862e+00
1.710000000000000000e+02,1.125472065270327095e-03,1.750435484505065364e+00,1.750791140314578387e+00
1.720000000000000000e+02,1.119752892469984967e-03,1.744574896853092527e+00,1.744931383349732634e+00
1.730000000000000000e+02,1.114114549067526071e-03,1.738749881407812392e+00,1.739107011434250394e+00
1.740000000000000000e+02,1.108555398018737110e-03,1.732960451163940485e+00,1.733318037880080764e+00
1.750000000000000000e+02,1.103073844109533127e-03,1.727206610604180570e+00,1.727564467646466317e+00
1.760000000000000000e+02,1.097668332672848248e-03,1.721488355981933616e+00,1.721846297616469235e+00
1.770000000000000000e+02,1.092337348351428514e-03,1.715805675596240087e+00,1.716163516866052952e+00
1.780000000000000000e+02,1.087079413904672382e-03,1.710158550059073912e+00,1.710516106926371682e+00
1.790000000000000000e+02,1.081893089057707827e-03,1.704546952557586703e+00,1.704904042039725898e+00
1.800000000000000000e+02,1.076776969391005177e-03,1.698970849108412340e+00,1.699327289408385955e+00
1.810000000000000000e+02,1.071729685268893277e-03,1.693430198805718101e+00,1.693785809437393874e+00
1.820000000000000000e+02,1.066749900805420139e-03,1.687924954062889560e+00,1.688279555970755519e+00
1.830000000000000000e+02,1.061836312866071405e-03,1.682455060848246475e+00,1.682808476521692409e+00
1.840000000000000000e+02,1.056987650103923069e-03,1.677020458914601164e+00,1.677372512496856594e+00
1.850000000000000000e+02,1.052202672028873867e-03,1.671621082022046068e+00,1.671971599414443066e+00
1.860000000000000000e+02,1.047480168108661479e-03,1.666256858155846343e+00,1.666605667116638712e+00
1.870000000000000000e+02,1.042818956900415286e-03,1.660927709738595048e+00,1.661274639976489498e+00
1.880000000000000000e+02,1.038217885211567375e-03,1.655633553835834437e+00,1.655978437099305811e+00
1.890000000000000000e+02,1.033675827288985756e-03,1.650374302357034528e+00,1.650716972518444736e+00
1.900000000000000000e+02,1.029191684035242558e-03,1.645149862251050310e+00,1.645490155386068354e+00
1.910000000000000000e+02,1.024764382250983093e-03,1.639960135695881283e+00,1.640297890158482153e+00
1.920000000000000000e+02,1.020392873902401572e-03,1.634805020284002763e+00,1.635140076776805396e+00
1.930000000000000000e+02,1.016076135412870242e-03,1.629684409201983541e+00,1.630016610842407454e+00
1.940000000000000000e+02,1.011813166977818370e-03,1.624598191405840497e+00,1.624927383787689417e+00
1.950000000000000000e+02,1.007602991901979626e-03,1.619546251791015967e+00,1.619872283042114613e+00
1.960000000000000000e+02,1.003444655958186243e-03,1.614528471357878026e+00,1.614851192193720752e+00
1.970000000000000000e+02,9.993372267668959412e-04,1.609544727373207751e+00,1.609863991146219142e+00
1.980000000000000000e+02,9.952797931956967967e-04,1.604594893526029020e+00,1.604910556271313737e+00
1.990000000000000000e+02,9.912714647780501969e-04,1.599678840080031916e+00,1.599990760557406189e+00
2.000000000000000000e+02,9.873113711505682264e-04,1.594796434021555909e+00,1.595104473753768515e+00
2.010000000000000000e+02,9.833986615081509019e-04,1.589947539203055538e+00,1.590251562510422545e+00
2.020000000000000000e+02,9.795325040763370669e-04,1.585132016482823980e+00,1.585431890514534148e+00
2.030000000000000000e+02,9.757120856002449898e-04,1.580349723860556388e+00,1.580645318622674766e+00
2.040000000000000000e+02,9.719366108495106895e-04,1.575600516609108714e+00,1.575891704989227371e+00
2.050000000000000000e+02,9.682053021386479537e-04,1.570884247402653866e+00,1.571170905191370037e+00
