sigma,P_mean,Ds_of_mean_P,mean_of_Ds
1.130000000000000000e+02,2.046083314461118793e-03,2.036253770149944575e+00,2.051824910290847459e+00
1.140000000000000000e+02,2.027832367365402667e-03,2.031930535449840480e+00,2.047601266005453891e+00
1.150000000000000000e+02,2.009939327548633699e-03,2.027625220092436287e+00,2.043393558181886061e+00
1.160000000000000000e+02,1.992394074570678821e-03,2.023337955840631697e+00,2.039201929172029804e+00
1.170000000000000000e+02,1.975186857254919697e-03,2.019068864926744755e+00,2.035026512407727584e+00
1.180000000000000000e+02,1.958308277255329122e-03,2.014818060450233705e+00,2.030867432767928804e+00
1.190000000000000000e+02,1.941749273484214434e-03,2.010585646757529155e+00,2.026724806928834166e+00
1.200000000000000000e+02,1.925501107348865076e-03,2.006371719806101073e+00,2.022598743698446722e+00
1.210000000000000000e+02,1.909555348748880315e-03,2.002176367511795174e+00,2.018489344335791191e+00
1.220000000000000000e+02,1.893903862789189435e-03,1.997999670081154866e+00,2.014396702855880683e+00
1.230000000000000000e+02,1.878538797166763715e-03,1.993841700329936018e+00,2.010320906321166223e+00
1.240000000000000000e+02,1.863452570191801360e-03,1.989702523987430194e+00,2.006262035120060183e+00
1.250000000000000000e+02,1.848637859406751689e-03,1.985582199987631524e+00,2.002220163233222827e+00
1.260000000000000000e+02,1.834087590768911091e-03,1.981480780748704262e+00,1.998195358488152218e+00
1.270000000000000000e+02,1.819794928364543022e-03,1.977398312440149519e+00,1.994187682803006290e+00
1.280000000000000000e+02,1.805753264624539514e-03,1.973334835238643947e+00,1.990197192419697503e+00
1.290000000000000000e+02,1.791956211013531232e-03,1.969290383573578662e+00,1.986223938127166244e+00
1.300000000000000000e+02,1.778397589166137239e-03,1.965264986362125210e+00,1.982267965475022153e+00
1.310000000000000000e+02,1.765071422445692578e-03,1.961258667234902164e+00,1.978329314978576114e+00
1.320000000000000000e+02,1.751971927902318520e-03,1.957271444752000100e+00,1.974408022315102373e+00
1.330000000000000000e+02,1.739093508608644716e-03,1.953303332610308196e+00,1.970504118511785308e+00
1.340000000000000000e+02,1.726430746352798076e-03,1.949354339842936268e+00,1.966617630126479943e+00
1.350000000000000000e+02,1.713978394669531981e-03,1.945424471009950640e+00,1.962748579420531048e+00
1.360000000000000000e+02,1.701731372191520606e-03,1.941513726381665972e+00,1.958896984525157814e+00
1.370000000000000000e+02,1.689684756303913267e-03,1.937622102114791467e+00,1.955062859600641856e+00
1.380000000000000000e+02,1.677833777086258507e-03,1.933749590421615538e+00,1.951246214989632133e+00
1.390000000000000000e+02,1.666173811526840045e-03,1.929896179732395023e+00,1.947447057364274370e+00
1.400000000000000000e+02,1.654700377995353385e-03,1.926061854851440103e+00,1.943665389867312188e+00
1.410000000000000000e+02,1.643409130960660691e-03,1.922246597107105437e+00,1.939901212248135609e+00
1.420000000000000000e+02,1.632295855941141502e-03,1.918450384496145356e+00,1.936154520993223604e+00
1.430000000000000000e+02,1.621356464675859652e-03,1.914673191822085618e+00,1.932425309451787143e+00
1.440000000000000000e+02,1.610586990505461077e-03,1.910914990829020166e+00,1.928713567956797936e+00
1.450000000000000000e+02,1.599983583952310469e-03,1.907175750329701103e+00,1.925019283940948345e+00
1.460000000000000000e+02,1.589542508490016581e-03,1.903455436328745920e+00,1.921342442048681098e+00
1.470000000000000000e+02,1.579260136492988869e-03,1.899754012141719572e+00,1.917683024244078549e+00
1.480000000000000000e+02,1.569132945357240832e-03,1.896071438509205898e+00,1.914041009914453584e+00
1.490000000000000000e+02,1.559157513784099067e-03,1.892407673707200644e+00,1.910416375970405811e+00
1.500000000000000000e+02,1.549330518218963856e-03,1.888762673652629065e+00,1.906809096942170489e+00
1.510000000000000000e+02,1.539648729437679978e-03,1.885136392005585471e+00,1.903219145072476692e+00
1.520000000000000000e+02,1.530109009273479537e-03,1.881528780267462952e+00,1.899646490405832777e+00
1.530000000000000000e+02,1.520708307477847175e-03,1.877939787875832822e+00,1.896091100875086477e+00
1.540000000000000000e+02,1.511443658708996104e-03,1.874369362295452923e+00,1.892552942384608583e+00
1.550000000000000000e+02,1.502312179642003752e-03,1.870817449105964148e+00,1.889031978890416408e+00
1.560000000000000000e+02,1.493311066194940142e-03,1.867283992086837374e+00,1.885528172477768161e+00
1.570000000000000000e+02,1.484437590865645166e-03,1.863768933298724395e+00,1.882041483435920703e+00
