sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
3.400000000000000000e+01,6.910019443470592597e-03,2.717686976729020820e+00,2.717838504047166648e+00,2.710231696161179205e+00,2.725668164514415182e+00
3.500000000000000000e+01,6.643076194134244633e-03,2.724346693536497277e+00,2.724489589150715041e+00,2.717217256126367886e+00,2.732420584926589235e+00
3.600000000000000000e+01,6.392932510202002649e-03,2.730844165088318842e+00,2.730978075027847396e+00,2.723909011957678317e+00,2.738859846491749295e+00
3.700000000000000000e+01,6.158128904042895792e-03,2.737185124792230084e+00,2.737309749661665403e+00,2.730490104260486106e+00,2.745077192899577412e+00
3.800000000000000000e+01,5.937366595804724478e-03,2.743374572428038505e+00,2.743489665045933279e+00,2.736895489990838648e+00,2.751145383612321638e+00
3.900000000000000000e+01,5.729486258092519359e-03,2.749416929686844036e+00,2.749522292571845217e+00,2.743100111045277067e+00,2.757033492166108601e+00
4.000000000000000000e+01,5.533450018460937293e-03,2.755316147912134639e+00,2.755411630674097889e+00,2.749045710086229999e+00,2.762873540128022221e+00
4.100000000000000000e+01,5.348326153354266387e-03,2.761075804312235427e+00,2.761161300994825485e+00,2.754900502638632620e+00,2.768944454187280524e+00
4.200000000000000000e+01,5.173276020031747184e-03,2.766699174468584044e+00,2.766774620880497526e+00,2.760556454684111483e+00,2.774495066107023789e+00
4.300000000000000000e+01,5.007542855879981714e-03,2.772189292990776988e+00,2.772254664056114759e+00,2.765988247296669922e+00,2.780232910222440790e+00
4.400000000000000000e+01,4.850442143537260151e-03,2.777549000646011734e+00,2.777604307797261640e+00,2.771380581918313268e+00,2.785480642570695053e+00
4.500000000000000000e+01,4.701353293869226825e-03,2.782780982533834546e+00,2.782826271166308096e+00,2.776732602422787188e+00,2.790561862205086729e+00
4.600000000000000000e+01,4.559712442684991582e-03,2.787887797944891055e+00,2.787923144946784948e+00,2.781817855881167922e+00,2.795512754352577289e+00
4.700000000000000000e+01,4.425006192106205501e-03,2.792871904051036580e+00,2.792897415419639096e+00,2.786704170263380576e+00,2.800500413955366863e+00
4.800000000000000000e+01,4.296766156106581261e-03,2.797735674331873756e+00,2.797751482883573004e+00,2.791471620988810187e+00,2.805441072827326465e+00
4.900000000000000000e+01,4.174564192956180080e-03,2.802481412922986692e+00,2.802487676102177527e+00,2.796064002593874775e+00,2.810156144121755073e+00
5.000000000000000000e+01,4.058008226355284444e-03,2.807111365620231336e+00,2.807108263410406312e+00,2.800590832922547957e+00,2.814957615520239376e+00
5.100000000000000000e+01,3.946738572676533781e-03,2.811627728260603476e+00,2.811615461198989863e+00,2.804964392377204074e+00,2.819651365092112894e+00
5.200000000000000000e+01,3.840424704646793874e-03,2.816032653001954156e+00,2.816011440297754298e+00,2.809165871690940008e+00,2.824113073037061383e+00
5.300000000000000000e+01,3.738762392490365370e-03,2.820328252959150905e+00,2.820298330714766433e+00,2.813240172112654314e+00,2.828526550485083835e+00
5.400000000000000000e+01,3.641471172446006550e-03,2.824516605549600712e+00,2.824478225082915461e+00,2.817147612240958221e+00,2.832872771971934434e+00
5.500000000000000000e+01,3.548292099986589086e-03,2.828599754843106773e+00,2.828553181108410364e+00,2.821106449726907162e+00,2.837015987787622873e+00
5.600000000000000000e+01,3.458985751279937491e-03,2.832579713147801215e+00,2.832525223252558622e+00,2.824913558500602218e+00,2.841056993572756095e+00
5.700000000000000000e+01,3.373330441644752358e-03,2.836458462020824633e+00,2.836396343834970413e+00,2.828501244109169477e+00,2.844941291201572575e+00
5.800000000000000000e+01,3.291120634150188334e-03,2.840237952853385206e+00,2.840168503707515502e+00,2.831921052184914522e+00,2.848874795764611445e+00
5.900000000000000000e+01,3.212165515221782237e-03,2.843920107149042309e+00,2.843843632617863104e+00,2.835258143520107854e+00,2.852727611015971831e+00
6.000000000000000000e+01,3.136287717264934268e-03,2.847506816588535994e+00,2.847423629355691599e+00,2.838611831639641370e+00,2.856443623767250362e+00
6.100000000000000000e+01,3.063322170993535570e-03,2.850999942954704824e+00,2.850910361755019107e+00,2.841837862514382529e+00,2.860104391538704327e+00
6.200000000000000000e+01,2.993115072432894069e-03,2.854401317973910501e+00,2.854305666609253223e+00,2.844968334336889892e+00,2.863785766333231120e+00
6.300000000000000000e+01,2.925522951516115744e-03,2.857712743116889165e+00,2.857611349541690160e+00,2.848009438985767972e+00,2.867271568324938791e+00
6.400000000000000000e+01,2.860411830864187117e-03,2.860935989392230372e+00,2.860829184864826402e+00,2.850957037058685639e+00,2.870668398223048978e+00
6.500000000000000000e+01,2.797656464775448958e-03,2.864072797155217120e+00,2.863960915451419620e+00,2.853771267202162676e+00,2.873972488016432347e+00
6.600000000000000000e+01,2.737139649686513333e-03,2.867124875949349061e+00,2.867008252634680510e+00,2.856505505588620153e+00,2.877212840197053811e+00
6.700000000000000000e+01,2.678751598433577914e-03,2.870093904393070439e+00,2.869972876149973651e+00,2.859161499555214814e+00,2.880322815041745699e+00
6.800000000000000000e+01,2.622389371566402790e-03,2.872981530117092674e+00,2.872856434123876035e+00,2.861734601913408227e+00,2.883369597394769279e+00
6.900000000000000000e+01,2.567956359767612547e-03,2.875789369757579816e+00,2.875660543116054235e+00,2.864220682805453499e+00,2.886347588271903852e+00
7.000000000000000000e+01,2.515361812125517689e-03,2.878519009006438978e+00,2.878386788215128167e+00,2.866581609731710500e+00,2.889339698684022295e+00
7.100000000000000000e+01,2.464520405614295615e-03,2.881172002717807601e+00,2.881036723187607063e+00,2.868878234677115113e+00,2.892237936117348696e+00
7.200000000000000000e+01,2.415351851663790315e-03,2.883749875069047786e+00,2.883611870678960631e+00,2.871115058779887264e+00,2.895120605719310625e+00
7.300000000000000000e+01,2.367780536163139379e-03,2.886254119773768778e+00,2.886113722463900189e+00,2.873273097745867144e+00,2.897925652395335838e+00
7.400000000000000000e+01,2.321735189647064230e-03,2.888686200342180044e+00,2.888543739741601168e+00,2.875270248834989051e+00,2.900654302362937642e+00
7.500000000000000000e+01,2.277148584768783849e-03,2.891047550385915432e+00,2.890903353473065707e+00,2.877202541090855270e+00,2.903185071350622426e+00
7.600000000000000000e+01,2.233957258475590280e-03,2.893339573962904421e+00,2.893193964756396674e+00,2.879277467042158367e+00,2.905609110836419706e+00
7.700000000000000000e+01,2.192101256578137761e-03,2.895563645956702015e+00,2.895416945234604800e+00,2.881329154545294813e+00,2.908005279295822199e+00
