k0,sigma,P_mean,Ds_of_mean_P,mean_Ds
5.000000000000000000e-01,7.900000000000000000e+01,2.024746659153368183e-03,2.922419029600021645e+00,2.922553503643260608e+00
5.000000000000000000e-01,8.000000000000000000e+01,1.987868643701355513e-03,2.924081999819326594e+00,2.924215889130043600e+00
5.000000000000000000e-01,8.100000000000000000e+01,1.952088022665213283e-03,2.925689177458574264e+00,2.925822442335106466e+00
5.000000000000000000e-01,8.200000000000000000e+01,1.917359967141378692e-03,2.927241723154041964e+00,2.927374328065166065e+00
5.000000000000000000e-01,8.300000000000000000e+01,1.883641972736902230e-03,2.928740765571795635e+00,2.928872679250006605e+00
5.000000000000000000e-01,8.400000000000000000e+01,1.850893713728166134e-03,2.930187402421032150e+00,2.930318597938188940e+00
5.000000000000000000e-01,8.500000000000000000e+01,1.819076907937062322e-03,2.931582701435501370e+00,2.931713156261694486e+00
5.000000000000000000e-01,8.600000000000000000e+01,1.788155191423588825e-03,2.932927701325644065e+00,2.933057397371694464e+00
5.000000000000000000e-01,8.700000000000000000e+01,1.758094002178975076e-03,2.934223412699545008e+00,2.934352336344337342e+00
5.000000000000000000e-01,8.800000000000000000e+01,1.728860472079678549e-03,2.935470818955995931e+00,2.935598961059199485e+00
5.000000000000000000e-01,8.900000000000000000e+01,1.700423326430834355e-03,2.936670877149770931e+00,2.936798233050594842e+00
5.000000000000000000e-01,9.000000000000000000e+01,1.672752790489166535e-03,2.937824518828366482e+00,2.937951088331599347e+00
5.000000000000000000e-01,9.100000000000000000e+01,1.645820502410416100e-03,2.938932650843184113e+00,2.939058438192819533e+00
5.000000000000000000e-01,9.200000000000000000e+01,1.619599432115967569e-03,2.939996156134073502e+00,2.940121169975448812e+00
5.000000000000000000e-01,9.300000000000000000e+01,1.594063805618047914e-03,2.941015894488838267e+00,2.941140147820195061e+00
5.000000000000000000e-01,9.400000000000000000e+01,1.569189034383149887e-03,2.941992703277752419e+00,2.942116213391964941e+00
5.000000000000000000e-01,9.500000000000000000e+01,1.544951649349763983e-03,2.942927398163893482e+00,2.943050186580848937e+00
5.000000000000000000e-01,9.600000000000000000e+01,1.521329239249361292e-03,2.943820773790621903e+00,2.943942866181168849e+00
5.000000000000000000e-01,9.700000000000000000e+01,1.498300392909374893e-03,2.944673604445813719e+00,2.944795030547999293e+00
5.000000000000000000e-01,9.800000000000000000e+01,1.475844645243886777e-03,2.945486644703328327e+00,2.945607438231657937e+00
5.000000000000000000e-01,9.900000000000000000e+01,1.453942426662203566e-03,2.946260630044132967e+00,2.946380828592287671e+00
5.000000000000000000e-01,1.000000000000000000e+02,1.432575015647667791e-03,2.946996277455930180e+00,2.947115922393745535e+00
5.000000000000000000e-01,1.010000000000000000e+02,1.411724494279303086e-03,2.947694286011920184e+00,2.947813422377291825e+00
5.000000000000000000e-01,1.020000000000000000e+02,1.391373706487171067e-03,2.948355337430812906e+00,2.948474013816856143e+00
5.000000000000000000e-01,1.030000000000000000e+02,1.371506218849084021e-03,2.948980096616943491e+00,2.949098365055574877e+00
5.000000000000000000e-01,1.040000000000000000e+02,1.352106283751517563e-03,2.949569212182518108e+00,2.949687128024172544e+00
5.000000000000000000e-01,1.050000000000000000e+02,1.333158804751468675e-03,2.950123316951616559e+00,2.950240938742081376e+00
5.000000000000000000e-01,1.060000000000000000e+02,1.314649303988692274e-03,2.950643028446659599e+00,2.950760417801884028e+00
5.000000000000000000e-01,1.070000000000000000e+02,1.296563891509331995e-03,2.951128949358767350e+00,2.951246170837332983e+00
5.000000000000000000e-01,1.080000000000000000e+02,1.278889236372557229e-03,2.951581668001787673e+00,2.951698788975889887e+00
5.000000000000000000e-01,1.090000000000000000e+02,1.261612539421535280e-03,2.952001758749778215e+00,2.952118849275235490e+00
5.000000000000000000e-01,1.100000000000000000e+02,1.244721507608950381e-03,2.952389782460558276e+00,2.952506915146074995e+00
5.000000000000000000e-01,1.110000000000000000e+02,1.228204329775411940e-03,2.952746286884542215e+00,2.952863536760674812e+00
5.000000000000000000e-01,1.120000000000000000e+02,1.212049653786609251e-03,2.953071807058644804e+00,2.953189251446600938e+00
5.000000000000000000e-01,1.130000000000000000e+02,1.196246564941908126e-03,2.953366865687244047e+00,2.953484584068291063e+00
5.000000000000000000e-01,1.140000000000000000e+02,1.180784565573409113e-03,2.953631973510545627e+00,2.953750047395886646e+00
5.000000000000000000e-01,1.150000000000000000e+02,1.165653555760281981e-03,2.953867629659597149e+00,2.953986142461132669e+00
5.000000000000000000e-01,1.160000000000000000e+02,1.150843815088557764e-03,2.954074321998916730e+00,2.954193358901323840e+00
5.000000000000000000e-01,1.170000000000000000e+02,1.136345985391451138e-03,2.954252527458316013e+00,2.954372175292395930e+00
5.000000000000000000e-01,1.180000000000000000e+02,1.122151054409841484e-03,2.954402712353146665e+00,2.954523059470897550e+00
5.000000000000000000e-01,1.190000000000000000e+02,1.108250340316719110e-03,2.954525332693096473e+00,2.954646468844591478e+00
5.000000000000000000e-01,1.200000000000000000e+02,1.094635477053274323e-03,2.954620834481226588e+00,2.954742850693412137e+00
5.000000000000000000e-01,1.210000000000000000e+02,1.081298400427853270e-03,2.954689654002585097e+00,2.954812642460372007e+00
5.000000000000000000e-01,1.220000000000000000e+02,1.068231334932334469e-03,2.954732218102850361e+00,2.954856272032642117e+00
5.000000000000000000e-01,1.230000000000000000e+02,1.055426781233496014e-03,2.954748944458376325e+00,2.954874158013690355e+00
5.000000000000000000e-01,1.240000000000000000e+02,1.042877504299791593e-03,2.954740241836706360e+00,2.954866709986579298e+00
5.000000000000000000e-01,1.250000000000000000e+02,1.030576522126553859e-03,2.954706510348264814e+00,2.954834328768444429e+00
5.000000000000000000e-01,1.260000000000000000e+02,1.018517095025076383e-03,2.954648141689722340e+00,2.954777406656356131e+00
5.000000000000000000e-01,1.270000000000000000e+02,1.006692715443259761e-03,2.954565519379855232e+00,2.954696327666261446e+00
5.000000000000000000e-01,1.280000000000000000e+02,9.950970982875997559e-04,2.954459018987277918e+00,2.954591467763359347e+00
5.000000000000000000e-01,1.290000000000000000e+02,9.837241717182295363e-04,2.954329008350172980e+00,2.954463195084995331e+00
5.000000000000000000e-01,1.300000000000000000e+02,9.725680683905267923e-04,2.954175847789886067e+00,2.954311870157182440e+00
