sigma,condensate_starts_full_operator,excised_renormalize,excised_hold,excised_radius_minus1,excised_radius_plus1,excised_rho0.4
1.270000000000000000e+02,2.689168630400843529e+00,2.678882596558457951e+00,2.664928781291836746e+00,2.719722434318291526e+00,2.670252964613728075e+00,2.802794321250595910e+00
1.280000000000000000e+02,2.686503927365951672e+00,2.675990133121015191e+00,2.662272613471797555e+00,2.717397294322927426e+00,2.667598906422806948e+00,2.803361545848622072e+00
1.290000000000000000e+02,2.683818836439733513e+00,2.673076811236636985e+00,2.659597510163219880e+00,2.715045972189729095e+00,2.664922177152726501e+00,2.803902556364544107e+00
1.300000000000000000e+02,2.681113818646499780e+00,2.670143158459122201e+00,2.656903895160307005e+00,2.712669005567934111e+00,2.662223232509596471e+00,2.804417571871621551e+00
1.310000000000000000e+02,2.678389325196645299e+00,2.667189691935505813e+00,2.654192184030183643e+00,2.710266921761391945e+00,2.659502520141247217e+00,2.804906810977182641e+00
1.320000000000000000e+02,2.675645797778211321e+00,2.664216918660397670e+00,2.651462784357306202e+00,2.707840237970460251e+00,2.656760479921711049e+00,2.805370491725973636e+00
1.330000000000000000e+02,2.672883668838312854e+00,2.661225335722395613e+00,2.648716095975991003e+00,2.705389461529950523e+00,2.653997544220351834e+00,2.805808831510199219e+00
1.340000000000000000e+02,2.670103361853493951e+00,2.658215430543169333e+00,2.645952511193063295e+00,2.702915090140938670e+00,2.651214138156897882e+00,2.806222046985917373e+00
1.350000000000000000e+02,2.667305291590382321e+00,2.655187681106958575e+00,2.643172415000790920e+00,2.700417612097150588e+00,2.648410679843276938e+00,2.806610353994718476e+00
1.360000000000000000e+02,2.664489864356167192e+00,2.652142556183783917e+00,2.640376185279907251e+00,2.697897506507132004e+00,2.645587580612200895e+00,2.806973967491513733e+00
1.370000000000000000e+02,2.661657478240778918e+00,2.649080515545519710e+00,2.637564192994293233e+00,2.695355243510895615e+00,2.642745245234153106e+00,2.807313101476935913e+00
1.380000000000000000e+02,2.658808523349291075e+00,2.646002010174278052e+00,2.634736802377195986e+00,2.692791284491333759e+00,2.639884072122474112e+00,2.807627968935705098e+00
1.390000000000000000e+02,2.655943382025825805e+00,2.642907482464914803e+00,2.631894371109440023e+00,2.690206082280764743e+00,2.637004453528022374e+00,2.807918781779464634e+00
1.400000000000000000e+02,2.653062429070002004e+00,2.639797366421232194e+00,2.629037250490730671e+00,2.687600081362796711e+00,2.634106775723371374e+00,2.808185750793594337e+00
1.410000000000000000e+02,2.650166031944825473e+00,2.636672087846017920e+00,2.626165785602996738e+00,2.684973718069158632e+00,2.631191419176967194e+00,2.808429085589069452e+00
1.420000000000000000e+02,2.647254550977326204e+00,2.633532064525224481e+00,2.623280315468231816e+00,2.682327420770890480e+00,2.628258758718645005e+00,2.808648994558390566e+00
1.430000000000000000e+02,2.644328339551631490e+00,2.630377706406773264e+00,2.620381173199512581e+00,2.679661610066164545e+00,2.625309163696190495e+00,2.808845684835100442e+00
1.440000000000000000e+02,2.641387744295873308e+00,2.627209415774009127e+00,2.617468686145349999e+00,2.676976698962792334e+00,2.622342998123577740e+00,2.809019362257103136e+00
1.450000000000000000e+02,2.638433105261782430e+00,2.624027587414329510e+00,2.614543176029945570e+00,2.674273093055024919e+00,2.619360620821225449e+00,2.809170231333987910e+00
1.460000000000000000e+02,2.635464756097766426e+00,2.620832608782261097e+00,2.611604959086866184e+00,2.671551190697619926e+00,2.616362385549729552e+00,2.809298495216555835e+00
1.470000000000000000e+02,2.632483024216341061e+00,2.617624860158554334e+00,2.608654346187810447e+00,2.668811383173994134e+00,2.613348641135742501e+00,2.809404355670580333e+00
1.480000000000000000e+02,2.629488230955797423e+00,2.614404714804338781e+00,2.605691642967304489e+00,2.666054054860677258e+00,2.610319731591420389e+00,2.809488013053073718e+00
1.490000000000000000e+02,2.626480691735533224e+00,2.611172539111136004e+00,2.602717149942141095e+00,2.663279583387045957e+00,2.607275996228304749e+00,2.809549666291152548e+00
1.500000000000000000e+02,2.623460716206392984e+00,2.607928692746125154e+00,2.599731162626572889e+00,2.660488339790628043e+00,2.604217769764840540e+00,2.809589512863789107e+00
1.510000000000000000e+02,2.620428608396255132e+00,2.604673528794188453e+00,2.596733971643438110e+00,2.657680688669026736e+00,2.601145382428319941e+00,2.809607748785940551e+00
1.520000000000000000e+02,2.617384666849499997e+00,2.601407393895910136e+00,2.593725862831737228e+00,2.654856988326630418e+00,2.598059160051819028e+00,2.809604568595137408e+00
1.530000000000000000e+02,2.614329184763014347e+00,2.598130628380798335e+00,2.590707117350168787e+00,2.652017590918046341e+00,2.594959424166308537e+00,2.809580165339606861e+00
1.540000000000000000e+02,2.611262450116525358e+00,2.594843566398228774e+00,2.587678011776645359e+00,2.649162842587421185e+00,2.591846492087858778e+00,2.809534730569574368e+00
1.550000000000000000e+02,2.608184745798972415e+00,2.591546536043995985e+00,2.584638818205465594e+00,2.646293083603564522e+00,2.588720677000765580e+00,2.809468454329404619e+00
1.560000000000000000e+02,2.605096349731160554e+00,2.588239859483894012e+00,2.581589804340679972e+00,2.643408648491896606e+00,2.585582288036333498e+00,2.809381525152062409e+00
1.570000000000000000e+02,2.601997534983063520e+00,2.584923853073888722e+00,2.578531233585947824e+00,2.640509866162069841e+00,2.582431630348021478e+00,2.809274130055066987e+00
1.580000000000000000e+02,2.598888569888451183e+00,2.581598827477088687e+00,2.575463365132415472e+00,2.637597060032141449e+00,2.579269005182924790e+00,2.809146454538081539e+00
1.590000000000000000e+02,2.595769718155291006e+00,2.578265087777650066e+00,2.572386454043324555e+00,2.634670548149817382e+00,2.576094709949556361e+00,2.808998682582109829e+00
1.600000000000000000e+02,2.592641238972356987e+00,2.574922933591823337e+00,2.569300751335733768e+00,2.631730643309281081e+00,2.572909038282447991e+00,2.808830996649574807e+00
1.610000000000000000e+02,2.589503387112591426e+00,2.571572659175958897e+00,2.566206504060178695e+00,2.628777653165263573e+00,2.569712280104385460e+00,2.808643577686312565e+00
1.620000000000000000e+02,2.586356413033362944e+00,2.568214553531934730e+00,2.563103955377429966e+00,2.625811880344165683e+00,2.566504721685144652e+00,2.808436605123820762e+00
1.630000000000000000e+02,2.583200562972879144e+00,2.564848900509828056e+00,2.559993344633242351e+00,2.622833622550719390e+00,2.563286645697285593e+00,2.808210256883941547e+00
1.640000000000000000e+02,2.580036079044156772e+00,2.561475978907874484e+00,2.556874907430685795e+00,2.619843172672931875e+00,2.560058331270346876e+00,2.807964709383107493e+00
